y,x1,x2,x3
3.630819324,0.245942491,0.454807906,0.637617759
3.645986472,0.188720871,0.976555405,0.078114354
3.743724664,0.898993619,0.085905437,0.92777987
3.681329523,0.446188042,0.435837903,0.58790669
3.499257445,0.156448594,0.302747664,0.624212911
3.78634757,0.782715579,0.367682142,0.751630649
3.548352572,0.676340725,0.172649676,0.353222769
3.641425733,0.312235321,0.642608287,0.312843831
3.876321201,0.999653668,0.619780543,0.655535626
3.469393978,0.129655864,0.556356962,0.220550929
3.599879269,0.877499921,0.076849992,0.44931893
3.792195532,0.956727365,0.596162676,0.192964735
3.736343961,0.1130396,0.917950499,0.572025888
3.769886525,0.143282978,0.829813575,0.77719674
3.202447979,0.440537705,0.06276371,0.059225696
3.634051918,0.21421585,0.257576103,0.994411925
3.740025964,0.430532081,0.67358093,0.470687424
3.410309327,0.560866343,0.196035659,0.109525084
3.865395453,0.898038974,0.60534343,0.709053362
3.873917407,0.540460802,0.794434636,0.922880719
3.582487112,0.957139949,0.130016696,0.214085334
3.905600282,0.997452459,0.882906695,0.515094955
3.82091255,0.454752968,0.692858954,0.811042287
3.523387652,0.445557786,0.097252278,0.679258423
3.464769832,0.239180648,0.592759614,0.016338934
3.662606417,0.532235802,0.143769846,0.912482574
3.891853984,0.602643761,0.970522234,0.759648606
3.643306297,0.062960898,0.56281545,0.75507322
3.488958807,0.171179663,0.07030218,0.954755054
3.80523486,0.430882317,0.881251952,0.494500075
3.585310784,0.301197115,0.683081122,0.107425952
3.629417881,0.843962478,0.042152066,0.641258093
3.720774682,0.764889291,0.496336754,0.258879852
3.628638772,0.391569784,0.447906784,0.461669203
3.483631482,0.218853468,0.17433038,0.71463232
3.776808816,0.91784248,0.429931138,0.44282645
3.691027914,0.789963916,0.405195772,0.268915606
3.815289407,0.540881158,0.71101301,0.642479925
3.811266571,0.414875725,0.851347623,0.588268104
3.439484619,0.186631199,0.018816784,0.906656431
3.771167786,0.672540912,0.428089746,0.699921384
3.874620038,0.54009523,0.873325051,0.819611146
3.731934667,0.600295396,0.694996327,0.190756255
3.799590336,0.670717718,0.42680975,0.848327394
3.580398782,0.559484001,0.496867664,0.039276946
3.556540081,0.220408979,0.646468711,0.187307626
3.49904009,0.475856546,0.344191874,0.17097053
3.203438347,0.441148352,0.031738285,0.111827223
3.784884123,0.906131437,0.663322067,0.104917347
3.864030074,0.990577574,0.75421209,0.345818729
3.878266651,0.671967971,0.754291024,0.851033809
3.789432319,0.768814994,0.554995044,0.467211209
3.515404276,0.144512453,0.781452906,0.015247466
3.915559067,0.883290822,0.886732689,0.766238748
3.737606438,0.1335961,0.844325905,0.633023789
3.292016099,0.434428685,0.007026003,0.329464049
3.310664833,0.16265995,0.178509371,0.407093636
3.806396217,0.61583705,0.404929164,0.986025341
3.785302594,0.251428953,0.772871452,0.774415217
3.357851919,0.253823564,0.41139988,0.032702671
3.362537383,0.213905447,0.270413466,0.303769227
3.734462857,0.28274552,0.465666034,0.942791399
3.668768618,0.124162224,0.743361881,0.517180064
3.709426972,0.092400366,0.548039728,0.963636592
3.349575109,0.542033731,0.15024831,0.07905439
3.454424842,0.728821507,0.14088116,0.112656435
3.715390666,0.22691974,0.95209476,0.287784717
3.720626706,0.149305957,0.804068568,0.592332476
3.248259718,0.365952818,0.189772179,0.025731565
3.847847554,0.816663866,0.477056948,0.889831662
3.877846335,0.67378999,0.841812621,0.716635429
3.523783021,0.463056024,0.286153314,0.342030055
3.196519708,0.164033365,0.092184493,0.331305732
3.847293072,0.934789607,0.881066967,0.095431278
3.796936978,0.714436013,0.766593905,0.24073358
3.841897104,0.899475524,0.404607353,0.88029248
3.764209145,0.451107946,0.573793125,0.698854945
3.535463017,0.763726806,0.057529759,0.425566134
3.484982955,0.12531885,0.637536643,0.152927681
3.528668944,0.700824554,0.013260652,0.556347398
3.500178694,0.026254987,0.656279824,0.298062807
3.542196427,0.351656596,0.621307682,0.013423418
3.848940681,0.68804656,0.819689225,0.508859853
3.837072967,0.940645175,0.511452909,0.616249311
3.698227529,0.790779212,0.349982254,0.389343909
